Company Name,Website,City / Location,Segment,What They Make,Revenue Band,Decision-Maker,E1: Producer,E2: Accessible,C3 Score,C4 Score,C5 Score,C6 Score,C7 Score,C8 Score,Total,Overall Verdict,Personalization Hook,
KALYANI  FORGE,kalyaniforge.co.in,"Koregaon Bhima,pune",Basket C- Precision auto components ,manufacturing warm and cold forged components ,Rs.100-300Cr,"Director, Kalyani Group leadership",PASS - machined industrial components in housing,Pass - company website available,Strong(20) - Specialized precision Mechanical Or Industrial Engineering,Strong(15) - Kalyani Group leadership with engineering/manufacturing background,Strong(15) - automotive manufacturing,(10)Kalyani Forge's CFO Laxmi Narayan Patra resigns due to personal reasons Business Standard,Strong(10)- manufacturing systems and large-scale industrial operations,Moderate(10),75/100,Fit,"Strong Products, Fast Service
Kalyani Forge Ltd",
Allengers Medical Systems Limited,http://www.allengers.com,pune,Basket B - Medical devices ,"provides varioushealthcare organization like HMS, PACS and LIS.",Unknown,Rajesh Pandey ,"PASS - Medical Manufacturng Equipment, Manufactures digital radiography, Remote Controlled RF Table  diagnostic systems",PASS - Active website ,Strong(20) - yes company is unique contain Product like Digital Radiography  Allengers latest new generation DR Retrofit Kit System (Mobile) etc.,Strong(15) - Employees in Allengers,"Strong(20) - Yes, It Produce manufacturing medical products","Strong(15) - Digital Radiography Systems, Cath Labs, Mammography, RF Table, ECG, Multi Para Monitors, EEG, High Frequency X ray, Line Frequency X ray, Treadmill Test, EMG, Polysomnograph, Gastroenterology, Holmium Laser, Retrofit Kit, C-ARM, Healthcare Software, and PACS.",Strong(10) - multiple integrated facilities,Moderate(10),90/100,Strong ( Best Fit),"""Allengers Healthcare""-Youtube ",
Serum Institute of India,Serum Institute of India - About | F6S,pune,Basket B - largest vaccine manufacturing Company,"largest vaccine manufacturer by number of doses produced and sold globally (more than 1.3 billion doses) which includes Polio vaccine as well as Diphtheria, Tetanus, Pertussis, Hib, BCG, r-Hepatitis B, Measles, Mumps and Rubella vaccines.",Unknown,Dr. Cyrus Poonawalla,Pass - aim of manufacturing life-saving immuno-biologicals,Pass -  Still Exists,"Strong(20) - The Philanthropic philosophy of the company still not only exists but has been proliferated to bring down the prices of newer vaccines such as Hepatitis-B vaccine, Combination vaccine etc.,",Strong(15) - Serum Institute of India investors,Strong(10) -  Still active,"Strong(20) - Serum Institute of India was founded in 1966 by Dr. Cyrus Poonawalla with the aim of manufacturing life-saving immuno-biologicals, which were in shortage in the country and imported at high prices.",Moderate(10),Strong(20) - serum Institute of Employees,95/100,Strong ( Best Fit),"Serum Institute of India is ranked as India's No. 1 biotechnology company,",
Mahindra Aerospace,Mahindra Aerospace – India,pune,Basket C - Producing Metallic Parts,Mahindra Aerostructure is based in india & Produces Metallic Parts assemblies for leadning aerospace majors,Rs.1.6 lakh crore+,Dr Anish Shah,"Pass - position in farm equipment, utility vehicles, information technology and financial services in India and is the world’s largest tractor company by volume",PASS - Active website ,"Strong(20) - Currently, Airbus’ annual procurement of components and services from India stands at $1.4 billion.","Strong(20) - Dr Anish Shah, Group CEO & MD, Mahindra Group",Strong(15) - Mahindra already supplies a variety of parts and sub-assemblies for Airbus’ commercial aircraft programmes,"Strong(15) - Rémi Maillard, President and Managing Director, Airbus in India ",Strong(10) - supplies a variety of parts and sub-assemblies for Airbus’ commercial aircraft,Strong(20) - structure is visible,90/100,Strong ( Best Fit),Mahindra Aerostructures selected by Airbus for manufacturing H130 Helicopter Fuselage – A 'Make in India' Milestone,
Nayam Innovations Pvt. Ltd.,https://www.f6s.com/nayam-innovations-pvt.-ltd?utm_source=chatgpt.com,Punr,Basket B -  Medical devices,healthcare innovation and device-based solutions.,Unknown,unknown,Pass - Company profile indicates development of healthcare/medical technology products.,PASS - Active company profile and business information available.,Moderate(10) - Focused on healthcare innovation and specialized medical solutions.,Weak(10) -  Leadership information is limited on the reviewed page.,Strong(20) -  Operates in the growing healthcare and medical technology sector.,Moderate(15) -  Startup-stage innovation activity visible through company profile.,Moderate(15) - Product-focused healthcare operations suggest structured development activity.,Weak (10)-  Limited publicly available information about organizational depth and leadership structure.,80/100,Strong ( Best Fit),healthcare innovation and medical technology solutions stood out during our research.,
Lightning Drones,lightningdrones.in,pune,"Basket B - Industrial sensors & instrumentation (process sensors, analyzers, vision systems, IoT monitoring)",leading drone service provider in the country for Solar PV modules ,Rs.1.0 L,Ramjan Pathan,Pass - upported the ground team with drone feed 24/7 using RGB and Thermal Sensors,Moderate ,"Strong(10) - Lightning Drones is a pioneering UAV service provider in the country to inspect High Voltage Transmission Lines, Towers, and other assets with Drones capable of ultra-zoomable visual lenses as well as best in class Infra-Red thermography sensors. ","Strong(20) - Lightning Drones Innovations Pvt Ltd management team includes ramjan pathan(founder),and there employess imran pathan(co-founder)  and dipak gaurav (frone pilot)",Strong(15) - It Produces lighting drones,"Strong(20) - Drone Inspection, Drone Services, Aerial Inspection, Uav Services, Drone Technology, Asset Monitoring, Unmanned Aerial Vehicles, Infrastructure Inspection, Energy Infrastructure, Power Transmission, Wind Turbine Monitoring, Renewable Energy, Remote Sensing, Data Acquisition, High Voltage Inspection, Aerial Photography, Precision Agriculture","Strong (20) - LIGHTNING DRONES INNOVATION PVT LTD is a leading drone service provider in the country for Solar PV modules inspections, Electrical Assets, and Transmission Lines Patrolling, Wind Turbine Generator Monitoring",Weak(10) ,95/100,Strong ( Best Fit),"""Aviation and Aerospace Component Manufacturing""-google search",
CILICANT,Desiccant Manufacturers & Supplier in India - CILICANT,pune,"Basket A - Specialty diagnostics & life-science tools (diagnostic kits, antibodies, reagents, genomics tools)","
To explore CILICANT Products built for Pharmaceutical Packaging",Rs.200 Cr,Manish jain,"Pass - pharmaceutical desiccants are manufactured and monitored continuously by adhering to the highest quality standards for maintaining product quality,",PASS - Active website ,Strong(20) -  pharmaceutical and healthcare products.,Strong(20) - Manish jain(founder) with there team,Strong(15) - development in active pharmaceutical pavkaging sector,strong(10) - financial status Angel-Backed,strong(20) -  Products especially designed for Pharmaceutical industry Pharma Desiccant CILICANT FG Desiccant Pouches are compact pouches packed with active sorbents designed to protect pharmaceuticals and nutraceuticals from moisture-induced degradation,Moderate(10),95/100,Strong ( Best Fit),CILICANT - Linkedln,
Jeevtronics,Home - Jeevtronics,pune,Basket B - Medical devices ,cardiac emergency devices and defibrillator simulators,Unknown, Ashish Gawade,PASS -  Inventors and manufacturers of patented hand-cranked defibrillators,PASS - Active website,Strong (20) - Developed the world's first dual-powered and hand-cranked defibrillator with patented technology,"Strong (15) - Founders have experience from Ford, Cummins, product development",Strong (15) - Medical devices,"Strong (15) -  Patent portfolio, commercialization efforts",Moderate (10) - Engineering-driven product development,Moderate (10),85/100,Fit,Your world's first hand-cranked dual-powered defibrillator for low-electricity environments stood out during our research.,
Vijay Chemicals Pune,Vijay Chemicals – Quality Control Lab,pune,"Basket A-Performance chemicals (polymer additives, specialty surfactants, coatings & resins, water treatment chemicals)","Quality control instruments, laboratory instruments, acids, catalysts, chemicals, lab glassware and laboratory solutions for research and industrial applications",Rs.215 Cr,Mr. Vijay Bhatevara,"PASS - Website mentions chemicals, R&D, quality control and laboratory solution offerings",PASS - Active website,"Moderate(10)- Serves pharmaceutical, defence, research and agricultural sectors with specialized laboratory chemicals and solutions",Moderate (10)- 50+ Years of Expertise,"	Strong(20) - Operates in laboratory chemicals, research and industrial quality-control ecosystem",Moderate(15) -  Company highlights 1500+ product varieties and ongoing support for research and industrial customers,Moderate(10) - Website mentions certified,Weak(10)- Detailed leadership structure is not clearly visible,75/100,Fit,"50+ Years of Expertise Established in 1973, we bring decades of experience in supplying high-quality chemicals and instruments.",
CyGenica,CyGenica - About | F6S,pune,Basket A - Specialty biotech,"Non-viral intracellular drug delivery platform (GEENIE) for targeted delivery of therapeutic molecules, proteins and nucleotides for cancer and rare genetic diseases",Unknown,Dr. Nusrat Sanghamitra -  Founder & CEO,PASS - Develops proprietary GEENIE intracellular therapeutic delivery technology and conducts biotechnology R&D for therapeutic applications,PASS -  Active website,Strong(15) - Proprietary GEENIE protein nanoneedle platform for targeted intracellular drug delivery,Strong (15) -  Founder & CEO and co-founder leadership team,"Strong(20)-  Operates in biotechnology, cancer therapeutics and rare genetic disease treatment sector","Strong(10) - Multiple patents granted, seed funding raised, research partnerships established and USFDA Orphan Drug Designation secured","Moderate(10) -  Dedicated R&D centre, research collaborations and structured therapeutic development process visible","Moderate(10) - Leadership team, board members and advisors publicly listed on website",80/100,Strong ( Best Fit),GEENIE platform and recent USFDA Orphan Drug,
